"probe_id"	"symbol"
"4301"	"10349431"	"Acmsd"
"4311"	"10349442"	"Ccnt2"
"4321"	"10349453"	"Rab3gap1"
"4345"	"10349478"	"---"
"4346"	"10349480"	"R3hdm1"
"4375"	"10349510"	"Mir128-1"
"4376"	"10349512"	"Ubxn4"
"4390"	"10349527"	"Gm23902"
"4391"	"10349529"	"Thsd7b"
"4420"	"10349559"	"Yod1"
"4422"	"10349562"	"AA986860"
"4428"	"10349571"	"Fcamr"
"4436"	"10349580"	"Pigr"
"4448"	"10349593"	"Fcmr"
"4457"	"10349603"	"Il10"
"4463"	"10349610"	"Eif2d"
"4486"	"10349637"	"Fam72a"
"4492"	"10349644"	"Avpr1b"
"4495"	"10349648"	"Ctse"
"4507"	"10349661"	"Rab7b"
"4516"	"10349671"	"Slc26a9"
"4538"	"10349694"	"Pm20d1"
"4554"	"10349711"	"Slc41a1"
"4566"	"10349724"	"Rab29"
"4574"	"10349733"	"Nucks1"
"4584"	"10349744"	"Slc45a3"
"4591"	"10349752"	"Elk4"
"4599"	"10349761"	"Lemd1"
"4606"	"10349769"	"Mir135b"
"4607"	"10349771"	"Gm7241"
"4608"	"10349773"	"Klhdc8a"
"4616"	"10349782"	"Nuak2"
"4624"	"10349793"	"Dstyk"
"4639"	"10349809"	"Rbbp5"
"4650"	"10349821"	"Tmem81"
"4654"	"10349826"	"Gm10538"
"4655"	"10349828"	"Lrrn2"
"4658"	"10349832"	"Gm29257"
"4659"	"10349834"	"Pik3c2b"
"4692"	"10349868"	"Ppp1r15b"
"4695"	"10349872"	"Plekha6"
"4698"	"10349876"	"Plekha6"
"4725"	"10349904"	"---"
"4733"	"10349913"	"---"
"4741"	"10349922"	"---"
"4750"	"10349932"	"Etnk2"
"4760"	"10349943"	"Gm23939"
"4761"	"10349945"	"---"
"4762"	"10349947"	"Fmod"
"4765"	"10349953"	"Chit1"
"4779"	"10349968"	"Chil1"
"4790"	"10349980"	"Mybph"
"4802"	"10349993"	"Myog"
"4805"	"10349997"	"4933406M09Rik"
"4810"	"10350003"	"Cyb5r1"
"4821"	"10350015"	"Adipor1"
"4829"	"10350024"	"Klhl12"
"4843"	"10350039"	"Rabif"
"4847"	"10350044"	"Gm29376"
"4848"	"10350046"	"Kdm5b"
"4878"	"10350077"	"Syt2"
