"Gene"	"SN_1"	"SN_2"	"SN_3"	"SN_4"	"ON_1"	"ON_2"	"ON_3"	"ON_4"	"SPF_1"	"SPF_2"	"SPF_3"	"SPF_4"	"SPF_5"
"Gm7420"	0	1	0	0	0	1	0	0	0	0	0	0	0
"Lmbr1"	123	115	51	54	128	119	28	90	56	116	175	185	223
"C79130"	2	0	2	1	4	0	0	10	4	0	1	2	23
"Gm23801"	0	0	0	0	0	0	0	0	0	0	0	0	0
"4632411P08Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nom1"	472	372	410	287	387	433	535	440	453	810	467	793	704
"Mnx1"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm24538"	0	0	0	2	0	0	0	0	0	1	0	0	0
"Gm6083"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ube3c"	408	400	625	511	661	685	519	515	602	1199	1287	1870	2179
"Gm42570"	0	0	0	0	0	0	0	2	0	0	0	0	0
"Gm26346"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm43117"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm5129"	0	0	1	0	0	2	1	4	0	0	0	0	3
"Dnajb6"	209	199	228	264	470	408	397	317	189	279	238	290	246
"Gm5552"	3	1	4	4	4	5	3	3	8	5	0	4	3
"Gm2213"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm1969"	0	1	1	0	0	2	0	0	0	0	2	0	0
"Gm42450"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm43386"	0	0	4	0	0	0	0	0	0	0	0	0	0
"Gm42806"	0	0	0	0	0	0	0	0	7	0	0	0	0
"Il6"	1985	1937	2236	1682	286	207	351	134	293	250	164	197	255
"Tyms"	311	187	159	148	247	194	226	268	387	412	223	302	411
"Gm4961"	0	0	0	0	1	0	12	0	2	0	8	22	21
"3110082J24Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gareml"	0	0	0	0	0	0	5	0	1	0	0	0	0
"Hadha"	1115	996	1287	1223	1782	1594	1643	1357	609	1549	1462	2193	1894
"Hadhb"	311	331	293	334	501	451	485	348	232	347	415	514	377
"Mir1960"	0	0	0	0	0	0	0	0	2	0	0	0	0
"Adgrf3"	0	0	0	0	0	14	8	0	0	0	0	0	0
"Ept1"	213	182	124	159	162	138	35	5	408	220	481	703	766
"Gm16288"	0	0	0	0	0	0	1	0	1	14	1	0	1
"Drc1"	0	0	0	0	0	0	0	0	0	0	0	1	0
"Gm43755"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otof"	5	23	10	0	0	0	0	0	3	0	0	0	0
"1700001C02Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cib4"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm25666"	0	0	0	1	0	0	0	0	0	0	0	0	0
"Gm42765"	0	0	0	1	0	0	0	0	0	0	0	0	0
"Gm9899"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Kcnk3"	0	0	2	0	0	0	0	1	1	1	0	0	1
"Slc35f6"	1493	1522	1497	1615	1420	1325	1598	1150	945	2243	2322	3113	2734
"Mir5625"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cenpa"	755	539	459	520	165	338	165	120	115	36	6	22	47
"Dpysl5"	0	0	0	1	0	0	0	0	2	0	0	0	0
"Gm42764"	0	0	0	0	0	0	0	0	0	0	0	0	0
